alpha,energy
2.6,-2.168541336
2.61,-2.179805028
2.62,-2.191073717
2.63,-2.202347416
2.64,-2.21362614
2.65,-2.2249099
2.66,-2.236198712
2.67,-2.247492588
2.68,-2.258791543
2.69,-2.270095589
2.7,-2.281404742
2.71,-2.292719015
2.72,-2.304038421
2.73,-2.315362975
2.74,-2.326692692
2.75,-2.338027584
2.76,-2.349367667
2.77,-2.360712954
2.78,-2.372063461
2.79,-2.383419201
2.8,-2.394780188
2.81,-2.406146439
2.82,-2.417517966
2.83,-2.428894786
2.84,-2.440276912
2.85,-2.451664359
2.86,-2.463057143
2.87,-2.474455278
2.88,-2.485858779
2.89,-2.497267662
2.9,-2.508681942
2.91,-2.520101633
2.92,-2.531526752
2.93,-2.542957313
2.94,-2.554393333
2.95,-2.565834826
2.96,-2.577281809
2.97,-2.588734297
2.98,-2.600192305
2.99,-2.61165585
3,-2.623124948
3.01,-2.634599614
3.02,-2.646079865
3.03,-2.657565716
3.04,-2.669057185
3.05,-2.680554287
3.06,-2.692057039
3.07,-2.703565457
3.08,-2.715079557
3.09,-2.726599357
3.1,-2.738124873
3.11,-2.749656122
3.12,-2.76119312
3.13,-2.772735885
3.14,-2.784284434
3.15,-2.795838783
3.16,-2.80739895
3.17,-2.818964953
3.18,-2.830536808
3.19,-2.842114533
3.2,-2.853698146
3.21,-2.865287663
3.22,-2.876883104
3.23,-2.888484485
3.24,-2.900091824
3.25,-2.91170514
3.26,-2.92332445
3.27,-2.934949773
3.28,-2.946581126
3.29,-2.958218529
3.3,-2.969861999
3.31,-2.981511555
3.32,-2.993167215
3.33,-3.004828999
3.34,-3.016496924
3.35,-3.02817101
3.36,-3.039851276
3.37,-3.05153774
3.38,-3.063230422
3.39,-3.074929342
3.4,-3.086634517
3.41,-3.098345968
3.42,-3.110063715
3.43,-3.121787776
3.44,-3.133518171
3.45,-3.145254921
3.46,-3.156998045
3.47,-3.168747563
3.48,-3.180503495
3.49,-3.192265862
3.5,-3.204034683
3.51,-3.215809978
3.52,-3.22759177
3.53,-3.239380077
3.54,-3.251174921
3.55,-3.262976322
3.56,-3.274784302
3.57,-3.286598881
3.58,-3.29842008
3.59,-3.31024792
3.6,-3.322082424
3.61,-3.333923611
3.62,-3.345771504
3.63,-3.357626124
3.64,-3.369487494
3.65,-3.381355633
3.66,-3.393230566
3.67,-3.405112313
3.68,-3.417000897
3.69,-3.42889634
3.7,-3.440798664
3.71,-3.452707892
3.72,-3.464624046
3.73,-3.47654715
3.74,-3.488477225
3.75,-3.500414295
3.76,-3.512358382
3.77,-3.52430951
3.78,-3.536267703
3.79,-3.548232982
3.8,-3.560205373
3.81,-3.572184897
3.82,-3.58417158
3.83,-3.596165445
3.84,-3.608166515
3.85,-3.620174816
3.86,-3.63219037
3.87,-3.644213202
3.88,-3.656243337
3.89,-3.668280799
3.9,-3.680325613
3.91,-3.692377803
3.92,-3.704437394
3.93,-3.716504412
3.94,-3.72857888
3.95,-3.740660826
3.96,-3.752750273
3.97,-3.764847247
3.98,-3.776951774
3.99,-3.78906388
4,-3.80118359
4.01,-3.813310931
4.02,-3.825445928
4.03,-3.837588607
4.04,-3.849738995
4.05,-3.861897119
4.06,-3.874063004
4.07,-3.886236678
4.08,-3.898418168
4.09,-3.910607499
4.1,-3.9228047
4.11,-3.935009798
4.12,-3.947222819
4.13,-3.959443791
4.14,-3.971672743
4.15,-3.983909701
4.16,-3.996154693
4.17,-4.008407748
4.18,-4.020668893
4.19,-4.032938157
4.2,-4.045117656
4.21,-4.057403009
4.22,-4.069696566
4.23,-4.081998356
4.24,-4.094308407
4.25,-4.106626749
4.26,-4.118953411
4.27,-4.131288422
4.28,-4.143631811
4.29,-4.155983608
4.3,-4.168343843
4.31,-4.180712545
4.32,-4.193089744
4.33,-4.205475471
4.34,-4.217869755
4.35,-4.230272627
4.36,-4.242684117
4.37,-4.255104256
4.38,-4.267533074
4.39,-4.279970603
4.4,-4.292416873
4.41,-4.304871916
4.42,-4.317335762
4.43,-4.329808443
4.44,-4.342289991
4.45,-4.354780437
4.46,-4.367279813
4.47,-4.379788151
4.48,-4.392305483
4.49,-4.404831841
4.5,-4.417367257
4.51,-4.429911765
4.52,-4.442465395
4.53,-4.455028182
4.54,-4.467600158
4.55,-4.480181355
4.56,-4.492771808
4.57,-4.505371549
4.58,-4.517980612
4.59,-4.530599029
4.6,-4.543226836
4.61,-4.555864065
4.62,-4.56851075
4.63,-4.581166926
4.64,-4.593832626
4.65,-4.606507885
4.66,-4.619192738
4.67,-4.631887218
4.68,-4.64459136
4.69,-4.6573052
4.7,-4.670028772
4.71,-4.682762111
4.72,-4.695505253
4.73,-4.708258232
4.74,-4.721021084
4.75,-4.733793845
4.76,-4.746576551
4.77,-4.759369236
4.78,-4.772171937
4.79,-4.784984691
4.8,-4.797807532
4.81,-4.810640499
4.82,-4.823483626
4.83,-4.83633695
4.84,-4.849200509
4.85,-4.862074338
4.86,-4.874958475
4.87,-4.887852957
4.88,-4.900757821
4.89,-4.913673103
4.9,-4.926598842
4.91,-4.939535075
4.92,-4.952481839
4.93,-4.965439172
4.94,-4.978407112
4.95,-4.991385697
4.96,-5.004374964
4.97,-5.017374952
4.98,-5.030385699
4.99,-5.043407244
5,-5.056439624
5.01,-5.069482878
5.02,-5.082537045
5.03,-5.095602163
5.04,-5.108678272
5.05,-5.12176541
5.06,-5.134863616
5.07,-5.147972929
5.08,-5.161093389
5.09,-5.174225035
5.1,-5.187367905
5.11,-5.20052204
5.12,-5.213687479
5.13,-5.226864262
5.14,-5.240052428
5.15,-5.253252017
5.16,-5.266463069
5.17,-5.279685624
5.18,-5.292919722
5.19,-5.306165403
5.2,-5.319422706
5.21,-5.332691673
5.22,-5.345972344
5.23,-5.359264759
5.24,-5.372568958
5.25,-5.385884981
5.26,-5.39921287
5.27,-5.412552665
5.28,-5.425904407
5.29,-5.439268136
5.3,-5.452643893
5.31,-5.466031719
5.32,-5.479431655
5.33,-5.492843741
5.34,-5.506268019
5.35,-5.51970453
5.36,-5.533153314
5.37,-5.546614413
5.38,-5.560087868
5.39,-5.573573719
5.4,-5.587072009
5.41,-5.600582778
5.42,-5.614106067
5.43,-5.627641919
5.44,-5.641190373
5.45,-5.654751472
5.46,-5.668325256
5.47,-5.681911767
5.48,-5.695511047
5.49,-5.709123136
5.5,-5.722748076
5.51,-5.736385908
5.52,-5.750036674
5.53,-5.763700415
5.54,-5.777377173
5.55,-5.791066988
5.56,-5.804769902
5.57,-5.818485957
5.58,-5.832215193
5.59,-5.845957653
5.6,-5.859713376
5.61,-5.873482406
5.62,-5.887264782
5.63,-5.901060546
5.64,-5.914869739
5.65,-5.928692403
5.66,-5.942528579
5.67,-5.956378307
5.68,-5.970241628
5.69,-5.984118584
5.7,-5.998009216
5.71,-6.011913565
5.72,-6.025831671
5.73,-6.039763575
5.74,-6.053709319
5.75,-6.067668942
5.76,-6.081642486
5.77,-6.09562999
5.78,-6.109631497
5.79,-6.123647045
5.8,-6.137676676
5.81,-6.151720429
5.82,-6.165778346
5.83,-6.179850466
5.84,-6.193936829
5.85,-6.208037476
5.86,-6.222152446
5.87,-6.236281779
5.88,-6.250425515
5.89,-6.264583693
5.9,-6.278756354
5.91,-6.292943537
5.92,-6.307145281
5.93,-6.321361625
5.94,-6.335592608
5.95,-6.349838271
5.96,-6.364098651
5.97,-6.378373787
5.98,-6.392663719
5.99,-6.406968485
6,-6.421288123
6.01,-6.435622672
6.02,-6.449972171
6.03,-6.464336657
6.04,-6.478716168
6.05,-6.493110743
6.06,-6.507520419
6.07,-6.521945233
6.08,-6.536385225
6.09,-6.55084043
6.1,-6.565310886
6.11,-6.57979663
6.12,-6.5942977
6.13,-6.608814132
6.14,-6.623345962
6.15,-6.637893228
6.16,-6.652455966
6.17,-6.667034212
6.18,-6.681628003
6.19,-6.696237373
6.2,-6.71086236
6.21,-6.725502998
6.22,-6.740159324
6.23,-6.754831373
6.24,-6.769519179
6.25,-6.784222778
6.26,-6.798942206
6.27,-6.813677495
6.28,-6.828428682
6.29,-6.843195801
6.3,-6.857978885
6.31,-6.872777969
6.32,-6.887593087
6.33,-6.902424273
6.34,-6.91727156
6.35,-6.932134981
6.36,-6.94701457
6.37,-6.96191036
6.38,-6.976822383
6.39,-6.991750673
6.4,-7.006695262
6.41,-7.021656182
6.42,-7.036633466
6.43,-7.051627145
6.44,-7.066637252
6.45,-7.081663818
6.46,-7.096706874
6.47,-7.111766452
6.48,-7.126842582
6.49,-7.141935297
6.5,-7.157044626
6.51,-7.172170601
6.52,-7.187313251
6.53,-7.202472607
6.54,-7.217648698
6.55,-7.232841555
6.56,-7.248051208
6.57,-7.263277685
6.58,-7.278521017
6.59,-7.293781232
6.6,-7.309058358
6.61,-7.324352426
6.62,-7.339663463
6.63,-7.354991498
6.64,-7.37033656
6.65,-7.385698675
6.66,-7.401077872
6.67,-7.416474178
6.68,-7.431887622
6.69,-7.44731823
6.7,-7.462766029
6.71,-7.478231046
6.72,-7.493713309
6.73,-7.509212843
6.74,-7.524729675
6.75,-7.540263831
6.76,-7.555815337
6.77,-7.571384219
6.78,-7.586970503
6.79,-7.602574213
6.8,-7.618195376
6.81,-7.633834017
6.82,-7.64949016
6.83,-7.665163829
6.84,-7.680855051
6.85,-7.696563849
6.86,-7.712290246
6.87,-7.728034268
6.88,-7.743795939
6.89,-7.759575281
6.9,-7.775372318
6.91,-7.791187074
6.92,-7.807019572
6.93,-7.822869834
6.94,-7.838737884
6.95,-7.854623745
6.96,-7.870527438
6.97,-7.886448986
6.98,-7.902388412
6.99,-7.918345736
7,-7.934320982
7.01,-7.950314169
7.02,-7.966325321
7.03,-7.982354459
7.04,-7.998401602
7.05,-8.014466773
7.06,-8.030549993
7.07,-8.046651281
7.08,-8.062770658
7.09,-8.078908146
7.1,-8.095063762
7.11,-8.111237529
7.12,-8.127429466
